               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.045744,            0.011399,                   0,            0.057169,            0.033688,           0.0080402,           0.0014943,            0.045288,            0.010206,                   0,           0.0091981,           0.0091981,           0.0091981
                  83,            0.044792,            0.013168,                   0,            0.049297,            0.039007,           0.0076578,           0.0013045,            0.045274,            0.010542,                   0,           0.0091882,           0.0091882,           0.0091882
                  84,            0.045645,            0.012313,                   0,            0.049297,            0.039007,           0.0076578,           0.0013045,            0.045274,            0.010544,                   0,           0.0091783,           0.0091783,           0.0091783
                  85,            0.045028,            0.014367,                   0,            0.083701,            0.029255,           0.0081563,           0.0012877,            0.045296,           0.0096345,                   0,           0.0091684,           0.0091684,           0.0091684
                  86,            0.045976,            0.011285,                   0,            0.083701,            0.029255,           0.0081563,           0.0012877,            0.045296,           0.0096362,                   0,           0.0091585,           0.0091585,           0.0091585
                  87,            0.047614,           0.0091518,                   0,            0.071998,            0.038121,           0.0092197,           0.0014466,            0.045108,           0.0094194,                   0,           0.0091486,           0.0091486,           0.0091486
                  88,            0.043242,            0.014502,                   0,            0.071998,            0.038121,           0.0092197,           0.0014466,            0.045108,           0.0094287,                   0,           0.0091387,           0.0091387,           0.0091387
                  89,             0.04659,           0.0098699,                   0,             0.10064,            0.052305,            0.014411,           0.0027821,            0.044687,            0.010394,                   0,           0.0091288,           0.0091288,           0.0091288
                  90,            0.046096,            0.010763,                   0,             0.10064,            0.052305,            0.014411,           0.0027821,            0.044687,            0.010399,                   0,           0.0091189,           0.0091189,           0.0091189
                  91,            0.045399,            0.011626,                   0,            0.071696,            0.065603,            0.013256,           0.0023931,            0.044575,            0.010382,                   0,            0.009109,            0.009109,            0.009109
                  92,            0.042907,            0.015362,                   0,            0.071696,            0.065603,            0.013256,           0.0023931,            0.044575,            0.010374,                   0,           0.0090991,           0.0090991,           0.0090991
                  93,            0.046101,            0.011489,                   0,            0.041646,            0.035461,           0.0066318,           0.0015254,            0.044952,           0.0093308,                   0,           0.0090892,           0.0090892,           0.0090892
                  94,            0.045419,            0.013501,                   0,            0.041646,            0.035461,           0.0066318,           0.0015254,            0.044952,           0.0093309,                   0,           0.0090793,           0.0090793,           0.0090793
                  95,            0.043923,            0.012923,                   0,             0.10543,             0.06383,            0.016909,           0.0029992,            0.044495,            0.010986,                   0,           0.0090694,           0.0090694,           0.0090694
                  96,            0.044919,            0.014274,                   0,             0.10543,             0.06383,            0.016909,           0.0029992,            0.044495,            0.010964,                   0,           0.0090595,           0.0090595,           0.0090595
